plant	species	class	total	V1	V2	endV1	endV2	start_hetero	end_hetero	zeroV1start	zeroV2start	zeroV1end	zeroV2end
Pedu2	edulis	F	15	23.98604752	-10.80660914	-17.32240368	18.07911682	1	15	0	0	-41.3084512	28.88572596
Pfii1	foetida	D	15	5.619317733	25.52750647	-0.414690026	-9.645514581	1	15	0	0	-6.034007759	-35.17302105
Pgal1	galbana	G	15	14.15865027	-3.790513873	17.49501266	16.17824213	1	15	0	0	3.33636239	19.968756
Pgal3	galbana	G	15	3.05095046	5.06450869	9.510892322	23.40102825	1	15	0	0	6.459941862	18.33651956
Pgal7	galbana	G	15	9.655959585	26.86646639	9.450801628	25.86053505	1	15	0	0	-0.205157957	-1.00593134
Pgib1	gibertii	C	15	-7.620956941	-1.007627821	-29.17203985	8.837317298	1	15	0	0	-21.55108291	9.844945119
Pgib2	gibertii	C	15	-4.554655419	-0.76342629	-33.63030318	8.533245267	1	15	0	0	-29.07564776	9.296671557
Phat7	hatschbachii	C	15	-9.066651395	14.73222563	-28.61067428	17.88794162	1	15	0	0	-19.54402289	3.15571599
Pmaf5	maliformis	G	15	10.54751707	-0.02197723	10.31002305	20.96115691	1	15	0	0	-0.23749402	20.98313414
Pmal5	malacophylla	G	15	16.60957149	2.878242387	31.60018281	8.612658522	1	15	0	0	14.99061132	5.734416135
Pmie2	miersii	E	15	12.25450753	-5.167830464	14.55836162	-11.53698358	1	15	0	0	2.30385409	-6.369153116
Pmis3	misera	A	15	2.192717558	-12.83930232	-14.87359512	-31.05368985	1	15	0	0	-17.06631268	-18.21438753
Pmuc4	mucronata	G	15	8.371004049	30.32277345	30.34701388	12.21433369	1	15	0	0	21.97600983	-18.10843976
Porg4	organensis	B	16	4.160770553	-11.95637865	3.592265381	-15.58389289	1	15	0	0	-0.568505172	-3.62751424
Prub4	rubra	B	15	1.591850783	-11.0796157	13.45882093	-23.98137039	1	15	0	0	11.86697015	-12.90175469
Psid1	sidifolia	E	15	4.052587657	-0.882549365	5.462726993	5.623202173	1	15	0	0	1.410139336	6.505751538
Psub9	suberosa	C	15	0.358901468	-17.27068938	-24.7392084	19.07866455	1	15	0	0	-25.09810987	36.34935393
Ptri1	tricuspis	B	15	0.961347189	-5.919682863	3.201555439	-23.0386263	1	15	0	0	2.24020825	-17.11894344
Ptri2	tricuspis	B	15	6.895229863	11.41684462	-3.980247601	-30.4752822	1	15	0	0	-10.87547746	-41.89212682
Pvil1	villosa	F	15	9.058109644	-14.74186296	-9.111951513	15.01990999	1	15	0	0	-18.17006116	29.76177295
Pact1	actinia	E	17	7.498497947	-1.59724224	7.446517961	-10.26972392	1	16	0	0	-0.051979986	-8.67248168
Pact4	actinia	E	16	10.55118845	8.543578002	6.128716314	-11.23523153	1	16	0	0	-4.422472136	-19.77880953
Pame1	amethystina	D	16	1.002036191	25.10406283	-10.53726979	21.62441451	1	16	0	0	-11.53930598	-3.47964832
Pbif4	biflora	B	16	6.897777186	-10.54464721	0.615581662	-21.73079718	1	16	0	0	-6.282195524	-11.18614997
