Trait1	Trait2	pval	BH	rho	order1	order2	order_var1	order_var2	BH.NA
B19	A9	0.514990057	0.658006264	-0.011512025	10	83	x010_B19	x083_A9	NA
B19	B1	0.000818802	0.002231236	0.05911795	10	26	x010_B19	x026_B1	0.002231236
B19	B10	0	0	-0.237655476	10	2	x010_B19	x002_B10	0
B19	B11	0	0	0.214411765	10	6	x010_B19	x006_B11	0
B19	B12	0	0	-0.180018336	10	14	x010_B19	x014_B12	0
B19	B13	0	0	0.398741245	10	9	x010_B19	x009_B13	0
B19	B14	0	0	-0.217353418	10	4	x010_B19	x004_B14	0
B19	B15	0	0	0.348623544	10	15	x010_B19	x015_B15	0
B19	B16	0	0	-0.361360013	10	16	x010_B19	x016_B16	0
B19	B17	0	0	0.316987693	10	7	x010_B19	x007_B17	0
B19	B18	0	0	-0.164179251	10	17	x010_B19	x017_B18	0
B19	B19	NA	NA	1	10	10	x010_B19	x010_B19	NA
B19	B2	0.001709978	0.004474605	-0.055415776	10	25	x010_B19	x025_B2	0.004474605
B19	B20	0	0	-0.14779678	10	8	x010_B19	x008_B20	0
B19	B3	0.011344473	0.026370732	0.04474625	10	23	x010_B19	x023_B3	0.026370732
B19	B4	0.000323346	0.00091523	-0.063516781	10	1	x010_B19	x001_B4	0.00091523
B19	B5	0	0	0.152859479	10	5	x010_B19	x005_B5	0
B19	B6	0.002125186	0.005489225	-0.054281242	10	13	x010_B19	x013_B6	0.005489225
B19	B7	0	0	0.230293214	10	11	x010_B19	x011_B7	0
B19	B8	2.22E-16	1.16E-15	-0.144055307	10	3	x010_B19	x003_B8	1.16E-15
B19	B9	0	0	0.253038824	10	12	x010_B19	x012_B9	0
B19	C1	0.365730406	0.517397172	0.015992176	10	21	x010_B19	x021_C1	NA
B19	C10	0	0	-0.145739049	10	30	x010_B19	x030_C10	0
B19	C11	8.87E-05	0.000264392	0.069220714	10	35	x010_B19	x035_C11	0.000264392
B19	C12	0.431508902	0.581455579	-0.013908058	10	29	x010_B19	x029_C12	NA
B19	C13	0	0	0.169594318	10	33	x010_B19	x033_C13	0
B19	C14	9.19E-11	3.82E-10	-0.114197172	10	31	x010_B19	x031_C14	3.82E-10
B19	C15	0.34120331	0.493132556	-0.016828189	10	40	x010_B19	x040_C15	NA
B19	C16	0	0	-0.203690022	10	37	x010_B19	x037_C16	0
B19	C17	0	0	0.233769953	10	39	x010_B19	x039_C17	0
B19	C18	0	0	0.160562322	10	36	x010_B19	x036_C18	0
B19	C19	0.238108738	0.374661911	0.020857448	10	41	x010_B19	x041_C19	NA
B19	C2	0.009355053	0.021984924	-0.045927234	10	19	x010_B19	x019_C2	0.021984924
B19	C20	0	0	-0.148000449	10	38	x010_B19	x038_C20	0
B19	C3	0.070062917	0.135711531	0.032022458	10	22	x010_B19	x022_C3	NA
B19	C4	1.01E-09	4.00E-09	-0.107697047	10	20	x010_B19	x020_C4	0.000000004
B19	C5	4.54E-10	1.84E-09	0.109899268	10	24	x010_B19	x024_C5	1.84E-09
B19	C6	0.036222163	0.076171768	-0.037020534	10	18	x010_B19	x018_C6	NA
B19	C7	2.18E-08	8.11E-08	0.098724343	10	34	x010_B19	x034_C7	8.11E-08
B19	C8	5.94E-07	2.05E-06	-0.088118546	10	28	x010_B19	x028_C8	0.00000205
B19	C9	2.96E-07	1.03E-06	0.090454981	10	32	x010_B19	x032_C9	0.00000103
B19	D1	0.090321472	0.169582595	0.029941052	10	51	x010_B19	x051_D1	NA
B19	D10	0.827996449	0.891859937	0.003841747	10	77	x010_B19	x077_D10	NA
B19	D11	0.160644465	0.271975026	-0.024802132	10	88	x010_B19	x088_D11	NA
B19	D12	0.371598592	0.523926048	-0.015797414	10	76	x010_B19	x076_D12	NA
B19	D13	0.028022156	0.060385632	0.038831871	10	90	x010_B19	x090_D13	NA
B19	D14	0.364034993	0.515443974	0.016048808	10	78	x010_B19	x078_D14	NA
B19	D15	0.732599036	0.828666268	-0.006041295	10	105	x010_B19	x105_D15	NA
B19	D16	0.246402369	0.383783372	-0.020493405	10	109	x010_B19	x109_D16	NA
B19	D17	0.905665178	0.940655361	0.002095434	10	106	x010_B19	x106_D17	NA
B19	D18	0.061227986	0.121102532	-0.033088561	10	108	x010_B19	x108_D18	NA
B19	D19	0.574568766	0.70758828	-0.009925188	10	107	x010_B19	x107_D19	NA
B19	D2	0.526362951	0.668123203	0.011202276	10	70	x010_B19	x070_D2	NA
B19	D20	0.413604584	0.566238749	0.014455309	10	110	x010_B19	x110_D20	NA
B19	D3	0.133513514	0.23403904	-0.026524942	10	50	x010_B19	x050_D3	NA
B19	D4	0.570438728	0.704673434	-0.010032506	10	102	x010_B19	x102_D4	NA
B19	D5	0.545115329	0.684104333	0.010698886	10	103	x010_B19	x103_D5	NA
B19	D6	0.681392192	0.792116772	0.007259422	10	67	x010_B19	x067_D6	NA
B19	D7	0.972724253	0.982607287	0.000604572	10	104	x010_B19	x104_D7	NA
B19	D8	0.69931004	0.804985348	-0.006829557	10	75	x010_B19	x075_D8	NA
B19	D9	0.270821198	0.412493162	0.019468898	10	89	x010_B19	x089_D9	NA
B19	x1	0.514313308	0.657647552	-0.011530568	10	59	x010_B19	x059_x1	NA
B19	x10	0.10442044	0.191554632	-0.028705653	10	65	x010_B19	x065_x10	NA
B19	x11	0.419199475	0.571159284	-0.014282833	10	27	x010_B19	x027_x11	NA
B19	x12	0.113193325	0.204642334	0.028002532	10	66	x010_B19	x066_x12	NA
B19	x13	0.177295217	0.294999952	0.023851672	10	49	x010_B19	x049_x13	NA
B19	x14	0.790677132	0.868470026	0.004693283	10	73	x010_B19	x073_x14	NA
B19	x15	0.959667005	0.975449931	0.000894195	10	74	x010_B19	x074_x15	NA
B19	x2	0.241934913	0.37889232	-0.020688411	10	60	x010_B19	x060_x2	NA
B19	x3	0.349413858	0.501133033	-0.016544215	10	61	x010_B19	x061_x3	NA
B19	x4	0.6896423	0.798244135	0.007060977	10	62	x010_B19	x062_x4	NA
B19	x5	0.247497175	0.384963039	0.020445995	10	57	x010_B19	x057_x5	NA
B19	x6	0.289623474	0.435270174	0.01872248	10	58	x010_B19	x058_x6	NA
B19	x7	0.962045548	0.977039312	0.000841421	10	71	x010_B19	x071_x7	NA
B19	x8	0.859849521	0.911385763	-0.003121995	10	72	x010_B19	x072_x8	NA
B19	x9	0.113259326	0.204699927	-0.027997408	10	48	x010_B19	x048_x9	NA
B19	y1	0.03437817	0.072800115	-0.037394702	10	44	x010_B19	x044_y1	NA
B19	y10	0.468454499	0.614526198	0.012818717	10	63	x010_B19	x063_y10	NA
B19	y11	0.489235436	0.633606921	0.012226966	10	52	x010_B19	x052_y11	NA
B19	y12	0.202359717	0.329390851	0.022538928	10	64	x010_B19	x064_y12	NA
B19	y13	0.094089931	0.17523117	0.029596532	10	87	x010_B19	x087_y13	NA
B19	y14	0.993682934	0.99617545	0.000139993	10	55	x010_B19	x055_y14	NA
B19	y15	0.890712228	0.931241391	-0.002429531	10	56	x010_B19	x056_y15	NA
B19	y2	0.028261369	0.060835515	-0.038772933	10	45	x010_B19	x045_y2	NA
B19	y3	0.168627611	0.282520222	-0.024337657	10	46	x010_B19	x046_y3	NA
B19	y4	0.09023599	0.169475175	-0.029949	10	47	x010_B19	x047_y4	NA
B19	y5	0.012362713	0.028571497	-0.044211522	10	42	x010_B19	x042_y5	0.028571497
B19	y6	0.016053267	0.036426697	-0.042553261	10	43	x010_B19	x043_y6	0.036426697
B19	y7	0.934479862	0.957969694	0.001453618	10	53	x010_B19	x053_y7	NA
B19	y8	0.982057303	0.988321896	0.000397659	10	54	x010_B19	x054_y8	NA
B19	y9	0.375714141	0.527990219	0.015661957	10	86	x010_B19	x086_y9	NA
A2	A1	0	0	-0.333370417	100	68	x100_A2	x068_A1	0
A2	A10	0.602690842	0.728659106	-0.009203806	100	91	x100_A2	x091_A10	NA
A2	A11	4.44E-16	2.30E-15	-0.143456519	100	80	x100_A2	x080_A11	2.3E-15
A2	A12	0	0	0.194455087	100	98	x100_A2	x098_A12	0
A2	A13	4.15E-07	1.44E-06	0.08932931	100	85	x100_A2	x085_A13	0.00000144
A2	A14	1.39E-13	6.57E-13	0.130241737	100	95	x100_A2	x095_A14	6.57E-13
A2	A15	8.96E-06	2.87E-05	-0.078401841	100	81	x100_A2	x081_A15	0.0000287
A2	A16	1.29E-14	6.37E-14	0.135616869	100	94	x100_A2	x094_A16	6.37E-14
A2	A17	3.54E-08	1.31E-07	-0.097236753	100	79	x100_A2	x079_A17	0.000000131
A2	A18	0	0	0.154671192	100	99	x100_A2	x099_A18	0
A2	A19	5.15E-11	2.18E-10	0.11571572	100	82	x100_A2	x082_A19	2.18E-10
A2	A2	NA	NA	1	100	100	x100_A2	x100_A2	NA
A2	A20	0	0	0.154751673	100	96	x100_A2	x096_A20	0
A2	A3	0	0	0.285452604	100	69	x100_A2	x069_A3	0
A2	A4	0	0	0.155569449	100	92	x100_A2	x092_A4	0
A2	A5	0	0	-0.519377649	100	101	x100_A2	x101_A5	0
A2	A6	8.14E-05	0.000243999	-0.069586098	100	97	x100_A2	x097_A6	0.000243999
A2	A7	9.48E-12	4.11E-11	0.120051384	100	84	x100_A2	x084_A7	4.11E-11
A2	A8	0	0	0.194944158	100	93	x100_A2	x093_A8	0
A2	A9	0.008339184	0.019775874	-0.046619605	100	83	x100_A2	x083_A9	0.019775874
A2	B1	0.094615054	0.175881318	0.029549407	100	26	x100_A2	x026_B1	NA
A2	B10	0.154204605	0.262779024	-0.025189688	100	2	x100_A2	x002_B10	NA
A2	B11	0.474593173	0.620136459	0.012642446	100	6	x100_A2	x006_B11	NA
A2	B12	0.431978327	0.58195732	-0.01389389	100	14	x100_A2	x014_B12	NA
A2	B13	0.605658079	0.73073923	-0.009128597	100	9	x100_A2	x009_B13	NA
A2	B14	0.447234184	0.594626066	0.013438175	100	4	x100_A2	x004_B14	NA
A2	B15	0.648545511	0.764705277	0.008058952	100	15	x100_A2	x015_B15	NA
A2	B16	0.512785376	0.65602824	0.011572479	100	16	x100_A2	x016_B16	NA
A2	B17	0.758884466	0.847967692	0.005427322	100	7	x100_A2	x007_B17	NA
A2	B18	0.371781353	0.524060478	-0.015791379	100	17	x100_A2	x017_B18	NA
A2	B19	0.474308899	0.620035292	0.012650581	100	10	x100_A2	x010_B19	NA
A2	B2	0.322158835	0.472114704	-0.017504208	100	25	x100_A2	x025_B2	NA
A2	B20	0.264425437	0.40511896	-0.019730847	100	8	x100_A2	x008_B20	NA
A2	B3	0.626755743	0.745811965	0.008598476	100	23	x100_A2	x023_B3	NA
A2	B4	0.008689148	0.020557002	-0.046372972	100	1	x100_A2	x001_B4	0.020557002
A2	B5	0.31871791	0.46856483	-0.017629096	100	5	x100_A2	x005_B5	NA
A2	B6	0.033711461	0.071489284	-0.037534211	100	13	x100_A2	x013_B6	NA
A2	B7	0.947689872	0.966553382	0.001160069	100	11	x100_A2	x011_B7	NA
A2	B8	0.610126407	0.733437042	-0.00901565	100	3	x100_A2	x003_B8	NA
A2	B9	0.809416207	0.880342918	0.004264467	100	12	x100_A2	x012_B9	NA
A2	C1	0.252776118	0.391069116	0.020219428	100	21	x100_A2	x021_C1	NA
A2	C10	0.942743093	0.963475084	0.001269953	100	30	x100_A2	x030_C10	NA
A2	C11	0.396701408	0.54993157	-0.014984975	100	35	x100_A2	x035_C11	NA
A2	C12	0.446298967	0.594041364	-0.013465853	100	29	x100_A2	x029_C12	NA
A2	C13	0.723142079	0.822482839	0.006263944	100	33	x100_A2	x033_C13	NA
A2	C14	0.188832227	0.311087991	0.023231503	100	31	x100_A2	x031_C14	NA
A2	C15	0.040090066	0.083393457	-0.036285624	100	40	x100_A2	x040_C15	NA
A2	C16	0.729131594	0.826230789	-0.006122818	100	37	x100_A2	x037_C16	NA
A2	C17	0.528552533	0.670051266	0.011143036	100	39	x100_A2	x039_C17	NA
A2	C18	0.280421095	0.424526381	0.01908355	100	36	x100_A2	x036_C18	NA
A2	C19	0.978061952	0.985459059	0.000486227	100	41	x100_A2	x041_C19	NA
A2	C2	0.728039353	0.825508483	0.006148524	100	19	x100_A2	x019_C2	NA
A2	C20	0.600571997	0.72780051	-0.009257613	100	38	x100_A2	x038_C20	NA
A2	C3	0.110407516	0.200391479	-0.028220993	100	22	x100_A2	x022_C3	NA
A2	C4	0.80820863	0.879348591	0.004292022	100	20	x100_A2	x020_C4	NA
A2	C5	0.107490557	0.195749055	0.028454453	100	24	x100_A2	x024_C5	NA
A2	C6	0.7354963	0.831472811	0.005973277	100	18	x100_A2	x018_C6	NA
A2	C7	0.977332147	0.985205287	-0.000502407	100	34	x100_A2	x034_C7	NA
A2	C8	0.906953838	0.9409912	-0.002066677	100	28	x100_A2	x028_C8	NA
A2	C9	0.40583847	0.55828399	0.014697025	100	32	x100_A2	x032_C9	NA
A2	D1	0	0	-0.402442008	100	51	x100_A2	x051_D1	0
A2	D10	0.012176553	0.028162976	0.044306293	100	77	x100_A2	x077_D10	0.028162976
A2	D11	0.000367836	0.001036269	0.062922776	100	88	x100_A2	x088_D11	0.001036269
A2	D12	0	0	-0.19177863	100	76	x100_A2	x076_D12	0
A2	D13	0.577742532	0.709892699	-0.009842966	100	90	x100_A2	x090_D13	NA
A2	D14	0.054424733	0.108795023	-0.034000088	100	78	x100_A2	x078_D14	NA
A2	D15	1.76E-12	7.91E-12	0.124219522	100	105	x100_A2	x105_D15	7.91E-12
A2	D16	0	0	0.162780255	100	109	x100_A2	x109_D16	0
A2	D17	0.000836397	0.002276078	-0.059013914	100	106	x100_A2	x106_D17	0.002276078
A2	D18	0	0	-0.206004754	100	108	x100_A2	x108_D18	0
A2	D19	1.46E-05	4.60E-05	0.07651893	100	107	x100_A2	x107_D19	0.000046
A2	D2	0	0	-0.37824434	100	70	x100_A2	x070_D2	0
A2	D20	0	0	0.188060552	100	110	x100_A2	x110_D20	0
A2	D3	0	0	0.321118951	100	50	x100_A2	x050_D3	0
A2	D4	0	0	0.572380245	100	102	x100_A2	x102_D4	0
A2	D5	0	0	-0.437297136	100	103	x100_A2	x103_D5	0
A2	D6	0	0	-0.43215549	100	67	x100_A2	x067_D6	0
A2	D7	0	0	0.153562307	100	104	x100_A2	x104_D7	0
A2	D8	0.205156234	0.332858355	0.022400001	100	75	x100_A2	x075_D8	NA
A2	D9	0.032697264	0.06953533	0.037751023	100	89	x100_A2	x089_D9	NA
A2	x1	0.003286115	0.008260067	0.051942784	100	59	x100_A2	x059_x1	0.008260067
A2	x10	0.16273165	0.27481021	0.024679046	100	65	x100_A2	x065_x10	NA
A2	x11	5.88E-05	0.000177709	0.070945598	100	27	x100_A2	x027_x11	0.000177709
A2	x12	0.012857161	0.02961148	-0.043965805	100	66	x100_A2	x066_x12	0.02961148
A2	x13	3.81E-05	0.000116411	-0.072730012	100	49	x100_A2	x049_x13	0.000116411
A2	x14	0	0	0.166756794	100	73	x100_A2	x073_x14	0
A2	x15	0	0	0.167804971	100	74	x100_A2	x074_x15	0
A2	x2	0.122242605	0.217872316	0.027320882	100	60	x100_A2	x060_x2	NA
A2	x3	0.822163847	0.887925106	-0.003974197	100	61	x100_A2	x061_x3	NA
A2	x4	2.10E-08	7.81E-08	0.09884543	100	62	x100_A2	x062_x4	7.81E-08
A2	x5	0.621185936	0.741539165	0.00873766	100	57	x100_A2	x057_x5	NA
A2	x6	0.560950001	0.696844607	-0.010280483	100	58	x100_A2	x058_x6	NA
A2	x7	0	0	-0.173360959	100	71	x100_A2	x071_x7	0
A2	x8	0	0	-0.177340716	100	72	x100_A2	x072_x8	0
A2	x9	0.002655868	0.006766251	0.05309625	100	48	x100_A2	x048_x9	0.006766251
A2	y1	0.000165186	0.000481892	-0.066534527	100	44	x100_A2	x044_y1	0.000481892
A2	y10	0	0	0.208447695	100	63	x100_A2	x063_y10	0
A2	y11	0	0	-0.480603009	100	52	x100_A2	x052_y11	0
A2	y12	0	0	0.199480549	100	64	x100_A2	x064_y12	0
A2	y13	0	0	0.409855783	100	87	x100_A2	x087_y13	0
A2	y14	4.11E-10	1.67E-09	0.110173754	100	55	x100_A2	x055_y14	1.67E-09
A2	y15	3.55E-15	1.79E-14	0.138544381	100	56	x100_A2	x056_y15	1.79E-14
A2	y2	0.000215485	0.000619583	-0.065355152	100	45	x100_A2	x045_y2	0.000619583
A2	y3	1.43E-08	5.41E-08	-0.09999267	100	46	x100_A2	x046_y3	5.41E-08
A2	y4	6.29E-09	2.42E-08	-0.102438547	100	47	x100_A2	x047_y4	2.42E-08
