plant	species	class	ontogeny	total	heteroblasty	V1	V2
Pame1	amethystina	D	11	16	6	-2.990486154	13.12852262
Pame1	amethystina	D	12	16	5	2.464865064	0.752269309
Pame1	amethystina	D	13	16	4	8.751098891	-13.72422658
Pame1	amethystina	D	14	16	3	3.547834074	13.87710732
Pame1	amethystina	D	15	16	2	10.60982946	-8.436813533
Pame1	amethystina	D	16	16	1	1.002036191	25.10406283
Pame1	amethystina	D	2	16	15	-15.77712478	9.824848727
Pame1	amethystina	D	3	16	14	-17.06392821	10.82041198
Pame1	amethystina	D	4	16	13	-16.77186554	8.490683298
Pame1	amethystina	D	5	16	12	-16.89503583	7.540882573
Pame1	amethystina	D	6	16	11	-16.85540479	8.764158857
Pame1	amethystina	D	7	16	10	-16.76033195	8.796816888
Pame1	amethystina	D	8	16	9	-17.34160245	9.240519443
Pame1	amethystina	D	9	16	8	-16.55339527	8.819619984
Pame2	amethystina	D	1	12	12	-16.31710391	16.53518247
Pame2	amethystina	D	10	12	3	2.848537259	4.974636504
Pame2	amethystina	D	11	12	2	4.116135018	2.844453793
Pame2	amethystina	D	12	12	1	2.405244325	-9.054931628
Pame2	amethystina	D	2	12	11	-18.07685649	12.05227055
Pame2	amethystina	D	3	12	10	-14.39650652	12.67237029
Pame2	amethystina	D	4	12	9	-15.42032988	8.713919626
Pame2	amethystina	D	5	12	8	-15.7698716	8.263231761
Pame2	amethystina	D	6	12	7	-15.58936849	10.70092173
Pame2	amethystina	D	7	12	6	-2.790337789	15.80757334
Pame2	amethystina	D	8	12	5	4.630791374	18.47018347
Pame2	amethystina	D	9	12	4	-2.313224768	16.32903908
Pame3	amethystina	D	1	11	11	-3.569250167	15.01567067
Pame3	amethystina	D	10	11	2	1.369219163	-2.376702715
Pame3	amethystina	D	11	11	1	0.878706111	-7.99765116
Pame3	amethystina	D	2	11	10	-14.42771477	12.2970033
Pame3	amethystina	D	3	11	9	-14.39796402	12.78857341
Pame3	amethystina	D	4	11	8	-13.9948479	12.69921975
Pame3	amethystina	D	5	11	7	-16.54759213	7.689625498
Pame3	amethystina	D	6	11	6	-14.3840452	12.70585291
Pame3	amethystina	D	7	11	5	24.33265391	13.38054548
Pame3	amethystina	D	8	11	4	-4.896799486	14.67647722
Pame3	amethystina	D	9	11	3	-1.391348815	10.98704909
Pame4	amethystina	D	1	13	13	-16.78744101	17.26299705
Pame4	amethystina	D	10	13	4	-2.477603058	14.44269831
Pame4	amethystina	D	11	13	3	-10.67893568	-0.359323627
Pame4	amethystina	D	12	13	2	-5.914788697	-4.015844144
Pame4	amethystina	D	13	13	1	11.02890789	8.874918419
Pame4	amethystina	D	2	13	12	-15.4894753	7.095496858
Pame4	amethystina	D	3	13	11	-17.2237935	11.08200428
Pame4	amethystina	D	4	13	10	-16.29197212	10.69822945
Pame4	amethystina	D	5	13	9	-17.13212575	11.06423764
Pame4	amethystina	D	6	13	8	-15.23223528	11.03918384
Pame4	amethystina	D	7	13	7	-14.77048705	12.82098705
Pame4	amethystina	D	8	13	6	-14.88346612	11.98599656
Pame4	amethystina	D	9	13	5	-13.81998499	12.61096533
Pame5	amethystina	D	1	12	12	-15.44144094	8.241311483
Pame5	amethystina	D	10	12	3	0.297354092	20.81943656
Pame5	amethystina	D	11	12	2	1.99087973	6.15768513
Pame5	amethystina	D	12	12	1	3.411996938	0.320971364
Pame5	amethystina	D	2	12	11	-16.47978134	7.871181011
Pame5	amethystina	D	3	12	10	-17.39732704	11.24090279
Pame5	amethystina	D	4	12	9	-16.02725866	10.00566375
Pame5	amethystina	D	5	12	8	-15.82153412	10.51064801
Pame5	amethystina	D	6	12	7	-15.18357133	11.33818818
Pame5	amethystina	D	7	12	6	-15.34710769	10.86688394
Pame5	amethystina	D	8	12	5	-5.101368429	-25.40398877
Pame5	amethystina	D	9	12	4	-13.47161135	12.73552876
Pame6	amethystina	D	1	14	14	-17.34048824	-0.853269342
Pame6	amethystina	D	10	14	5	-13.56041773	12.80731184
Pame6	amethystina	D	11	14	4	-2.872285745	15.49212042
Pame6	amethystina	D	12	14	3	-22.62783836	-3.184687447
Pame6	amethystina	D	13	14	2	-10.89789468	-0.162755562
Pame6	amethystina	D	14	14	1	7.555575296	-7.556357691
Pame6	amethystina	D	2	14	13	-22.88840649	-1.739565103
Pame6	amethystina	D	3	14	12	-15.69258625	8.616759725
Pame6	amethystina	D	4	14	11	-15.85310582	9.947831655
Pame6	amethystina	D	5	14	10	-15.75407277	8.71062368
Pame6	amethystina	D	6	14	9	-15.75985363	8.617506572
Pame6	amethystina	D	7	14	8	-16.11213762	7.853220932
Pame6	amethystina	D	8	14	7	-15.79022636	10.0334312
Pame6	amethystina	D	9	14	6	-13.7745488	12.66890513
Pbif1	biflora	B	10	13	4	1.222612646	-24.44795077
Pbif1	biflora	B	11	13	3	1.291622402	-23.13602796
Pbif1	biflora	B	12	13	2	5.279233825	-19.16441733
Pbif1	biflora	B	13	13	1	2.494467787	-10.95921123
Pbif1	biflora	B	7	13	7	1.141297354	-23.60161022
Pbif1	biflora	B	8	13	6	1.554335471	-23.93155905
Pbif1	biflora	B	9	13	5	1.521252923	-22.84764617
Pbif2	biflora	B	1	11	11	2.389419438	-21.75808158
Pbif2	biflora	B	10	11	2	7.229428225	-16.75934933
Pbif2	biflora	B	11	11	1	1.310590948	-9.251280621
Pbif2	biflora	B	2	11	10	2.515721826	-21.98801589
Pbif2	biflora	B	3	11	9	-1.704144119	-25.15484806
Pbif2	biflora	B	4	11	8	-1.098444748	-23.60340077
Pbif2	biflora	B	5	11	7	2.927201832	-14.27909566
Pbif2	biflora	B	6	11	6	1.763598041	-22.65519945
Pbif2	biflora	B	7	11	5	5.194785691	-28.51760335
Pbif2	biflora	B	8	11	4	2.351285601	-22.90680693
Pbif2	biflora	B	9	11	3	2.452169839	-24.88432125
Pbif3	biflora	B	1	18	18	-1.489262408	-25.067103
Pbif3	biflora	B	10	18	9	0.548501568	-24.00682742
Pbif3	biflora	B	11	18	8	0.514498642	-23.99300927
Pbif3	biflora	B	12	18	7	0.795131592	-24.6154773
Pbif3	biflora	B	13	18	6	1.57658161	-23.92108281
Pbif3	biflora	B	14	18	5	6.199587194	-21.29324444
Pbif3	biflora	B	15	18	4	2.720231473	-14.37831231
Pbif3	biflora	B	16	18	3	4.614718105	-27.93383386
Pbif3	biflora	B	17	18	2	5.36971756	-21.74837228
Pbif3	biflora	B	18	18	1	2.54663839	-11.59059136
Pbif3	biflora	B	2	18	17	0.523840436	-22.90697134
Pbif3	biflora	B	3	18	16	-1.007035784	-23.3052771
Pbif3	biflora	B	4	18	15	0.612961874	-23.69849671
Pbif3	biflora	B	5	18	14	-0.822484926	-23.49888484
Pbif3	biflora	B	6	18	13	-0.762831839	-23.26696154
Pbif3	biflora	B	7	18	12	0.310562992	-23.72945678
Pbif3	biflora	B	8	18	11	0.587511467	-24.15957914
Pbif3	biflora	B	9	18	10	1.295656849	-22.33085639
Pbif4	biflora	B	1	16	16	0.615581662	-21.73079718
Pbif4	biflora	B	10	16	7	2.886829269	-21.89370611
Pbif4	biflora	B	11	16	6	1.248910369	-24.37452972
Pbif4	biflora	B	12	16	5	4.152508657	-19.66754676
Pbif4	biflora	B	13	16	4	2.655646913	-14.16925671
Pbif4	biflora	B	14	16	3	1.213511757	-30.55145677
Pbif4	biflora	B	15	16	2	2.403720706	-21.80372293
Pbif4	biflora	B	16	16	1	6.897777186	-10.54464721
Pbif4	biflora	B	2	16	15	-10.34716445	-21.86559886
Pbif4	biflora	B	3	16	14	-11.12808215	-22.72625241
Pbif4	biflora	B	4	16	13	-10.58541448	-22.36679299
Pbif4	biflora	B	5	16	12	-2.054465018	-23.78344051
Pbif4	biflora	B	6	16	11	-2.690835276	-27.2076197
Pbif4	biflora	B	7	16	10	2.61297223	-15.6921307
Pbif4	biflora	B	8	16	9	-2.234604442	-25.2970287
Pbif4	biflora	B	9	16	8	0.324621228	-25.03685394
Pbif5	biflora	B	1	11	11	-2.367479289	-23.35099274
Pbif5	biflora	B	10	11	2	2.271847844	-21.41939218
Pbif5	biflora	B	11	11	1	0.067138149	-15.8039648
Pbif5	biflora	B	2	11	10	-10.45523718	-22.23071416
Pbif5	biflora	B	3	11	9	-2.477246521	-25.26805969
Pbif5	biflora	B	4	11	8	-1.980805377	-23.76541461
Pbif5	biflora	B	5	11	7	-1.538519059	-25.21503357
Pbif5	biflora	B	6	11	6	-1.633454577	-25.17177605
Pbif5	biflora	B	7	11	5	-1.266907635	-25.0269655
Pbif5	biflora	B	8	11	4	3.645899748	-29.01497286
Pbif5	biflora	B	9	11	3	2.495952975	-21.6937002
Pcae1	caerulea	C	1	16	16	-34.24683571	14.6112842
Pcae1	caerulea	C	10	16	7	10.809331	-1.406986526
Pcae1	caerulea	C	11	16	6	36.32599094	14.23041148
Pcae1	caerulea	C	12	16	5	34.69552974	11.6607969
Pcae1	caerulea	C	13	16	4	36.37434777	11.97993116
Pcae1	caerulea	C	14	16	3	16.40682562	-9.82322122
Pcae1	caerulea	C	15	16	2	16.20188465	-9.841791334
Pcae1	caerulea	C	16	16	1	3.253698751	-9.392604244
Pcae1	caerulea	C	2	16	15	-32.07386651	16.42272903
Pcae1	caerulea	C	3	16	14	-31.79767039	16.52849608
Pcae1	caerulea	C	4	16	13	-32.84055693	15.85924214
Pcae1	caerulea	C	5	16	12	-32.04815429	16.72112278
Pcae1	caerulea	C	6	16	11	-31.1642023	17.16158892
Pcae1	caerulea	C	7	16	10	-34.92779753	17.24392292
Pcae1	caerulea	C	8	16	9	-34.9180015	17.00640087
Pcae1	caerulea	C	9	16	8	32.24826153	17.71411624
Pcae2	caerulea	C	1	21	21	-22.04353891	-11.89234549
Pcae2	caerulea	C	10	21	12	-30.06994915	0.295574455
Pcae2	caerulea	C	11	21	11	-31.68382386	16.59513072
Pcae2	caerulea	C	12	21	10	-27.83385508	20.09043834
Pcae2	caerulea	C	13	21	9	-29.68306302	19.84821193
Pcae2	caerulea	C	14	21	8	14.99853675	-6.017741112
Pcae2	caerulea	C	15	21	7	30.9011298	16.53294415
Pcae2	caerulea	C	16	21	6	15.22811565	0.319771506
Pcae2	caerulea	C	17	21	5	12.1794513	6.64062154
Pcae2	caerulea	C	18	21	4	16.4805086	-0.487712939
Pcae2	caerulea	C	19	21	3	14.95326835	0.408181181
Pcae2	caerulea	C	2	21	20	-23.69313202	-10.42190987
Pcae2	caerulea	C	20	21	2	14.27840871	-1.124723593
Pcae2	caerulea	C	3	21	19	-23.94843022	-10.36806517
Pcae2	caerulea	C	4	21	18	-21.9603333	-11.8910487
Pcae2	caerulea	C	5	21	17	-23.8863899	-10.62897362
Pcae2	caerulea	C	6	21	16	-23.49249488	-10.49352613
Pcae2	caerulea	C	7	21	15	-21.488162	-10.44455635
Pcae2	caerulea	C	8	21	14	-23.03888362	-9.375622498
Pcae2	caerulea	C	9	21	13	-20.70948455	7.070853166
Pcae3	caerulea	C	1	17	17	-21.89325705	-9.721247012
Pcae3	caerulea	C	10	17	8	21.36222734	-2.959282871
Pcae3	caerulea	C	11	17	7	11.67259371	-2.173291931
Pcae3	caerulea	C	12	17	6	6.790955383	4.340368372
Pcae3	caerulea	C	13	17	5	9.551565817	6.485311195
Pcae3	caerulea	C	14	17	4	37.18102154	12.51928125
Pcae3	caerulea	C	15	17	3	3.125246922	5.813016185
Pcae3	caerulea	C	16	17	2	2.440607907	-11.18545571
Pcae3	caerulea	C	17	17	1	1.428723961	23.85412796
Pcae3	caerulea	C	2	17	16	-21.24630186	-11.92936117
Pcae3	caerulea	C	3	17	15	-26.94762692	18.47378256
Pcae3	caerulea	C	4	17	14	-23.4275648	4.89472766
Pcae3	caerulea	C	5	17	13	-27.86773481	19.98222306
Pcae3	caerulea	C	6	17	12	-27.5769211	20.06949604
Pcae3	caerulea	C	7	17	11	-26.60536651	19.64986059
Pcae3	caerulea	C	8	17	10	21.0751839	18.22339299
Pcae3	caerulea	C	9	17	9	10.20806607	-3.530849208
Pcap1	capsularis	B	1	11	11	13.65482254	-24.10723301
Pcap1	capsularis	B	10	11	2	0.211351943	9.687800185
Pcap1	capsularis	B	2	11	10	12.16444044	-31.07204361
Pcap1	capsularis	B	3	11	9	12.87520826	-25.94684615
Pcap1	capsularis	B	4	11	8	11.92045491	-29.53509367
Pcap1	capsularis	B	5	11	7	12.80767439	-26.01360707
Pcap1	capsularis	B	6	11	6	12.0515397	-30.66915214
Pcap1	capsularis	B	7	11	5	12.2266015	-30.81769383
Pcap1	capsularis	B	8	11	4	15.82989133	-29.78128923
Pcap1	capsularis	B	9	11	3	11.21660744	-18.07917337
Pcap2	capsularis	B	1	11	11	10.03661754	-32.19240806
Pcap2	capsularis	B	11	11	1	10.22924382	11.70370889
Pcap2	capsularis	B	2	11	10	10.55701314	-31.37823237
Pcap2	capsularis	B	3	11	9	9.917875298	-30.78098582
Pcap2	capsularis	B	4	11	8	10.29328742	-30.61271655
Pcap2	capsularis	B	5	11	7	9.700281546	-30.80933228
Pcap2	capsularis	B	6	11	6	9.053650003	-31.02614035
Pcap2	capsularis	B	7	11	5	13.7984082	-26.01545675
